Counter(/amcl/parameter_descriptions),Counter(/amcl/parameter_updates),Counter(/amcl_pose),Counter(/battery_state),Counter(/cmd_vel),Counter(/cmd_vel_rc100),Counter(/diagnostics),Counter(/imu),Counter(/joint_states),Counter(/magnetic_field),Counter(/map),Counter(/map_metadata),Counter(/move_base/DWAPlannerROS/cost_cloud),Counter(/move_base/DWAPlannerROS/global_plan),Counter(/move_base/DWAPlannerROS/local_plan),Counter(/move_base/DWAPlannerROS/parameter_descriptions),Counter(/move_base/DWAPlannerROS/parameter_updates),Counter(/move_base/DWAPlannerROS/trajectory_cloud),Counter(/move_base/NavfnROS/plan),Counter(/move_base/current_goal),Counter(/move_base/feedback),Counter(/move_base/global_costmap/costmap),Counter(/move_base/global_costmap/costmap_updates),Counter(/move_base/global_costmap/footprint),Counter(/move_base/global_costmap/inflation_layer/parameter_descriptions),Counter(/move_base/global_costmap/inflation_layer/parameter_updates),Counter(/move_base/global_costmap/obstacle_layer/parameter_descriptions),Counter(/move_base/global_costmap/obstacle_layer/parameter_updates),Counter(/move_base/global_costmap/parameter_descriptions),Counter(/move_base/global_costmap/parameter_updates),Counter(/move_base/global_costmap/static_layer/parameter_descriptions),Counter(/move_base/global_costmap/static_layer/parameter_updates),Counter(/move_base/goal),Counter(/move_base/local_costmap/costmap),Counter(/move_base/local_costmap/costmap_updates),Counter(/move_base/local_costmap/footprint),Counter(/move_base/local_costmap/inflation_layer/parameter_descriptions),Counter(/move_base/local_costmap/inflation_layer/parameter_updates),Counter(/move_base/local_costmap/obstacle_layer/parameter_descriptions),Counter(/move_base/local_costmap/obstacle_layer/parameter_updates),Counter(/move_base/local_costmap/parameter_descriptions),Counter(/move_base/local_costmap/parameter_updates),Counter(/move_base/parameter_descriptions),Counter(/move_base/parameter_updates),Counter(/move_base/recovery_status),Counter(/move_base/result),Counter(/move_base/status),Counter(/odom),Counter(/particlecloud),Counter(/rosout),Counter(/rosout_agg),Counter(/rpms),Counter(/scan),Counter(/sensor_state),Counter(/statistics),Counter(/tf),Counter(/tf_static),Counter(/version_info)
0,0,1,33,10,0,1,80,30,79,0,0,8,8,8,0,0,7,10,0,10,0,8,8,0,0,0,0,0,0,0,0,0,1,4,8,0,0,0,0,0,0,0,0,0,0,5,25,1,10,10,5,5,33,30,56,0,1
0,0,0,26,8,0,1,75,27,67,0,0,7,7,7,0,0,7,10,0,10,0,7,9,0,0,0,0,0,0,0,0,0,2,4,8,0,0,0,0,0,0,0,0,0,0,5,26,0,12,12,5,5,18,28,60,0,1
0,0,0,18,6,77,1,80,26,83,0,0,4,4,4,0,0,4,6,0,10,0,7,8,0,0,0,0,0,0,0,0,0,2,5,8,0,0,0,0,0,0,0,0,0,0,5,25,0,13,13,5,5,0,22,54,0,1
0,0,1,30,10,26,1,76,22,72,0,0,8,8,8,0,0,8,8,0,10,0,6,8,0,0,0,0,0,0,0,0,0,1,6,8,0,0,0,0,0,0,0,0,0,0,5,26,1,12,12,5,5,58,30,53,0,1
0,0,1,16,8,26,1,76,24,77,0,0,7,7,7,0,0,7,10,0,10,0,7,9,0,0,0,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,0,5,26,1,7,7,5,5,25,31,30,0,1
0,0,1,19,10,24,1,71,30,79,0,0,10,10,10,0,0,10,10,0,10,0,8,9,0,0,0,0,0,0,0,0,0,1,7,9,0,0,0,0,0,0,0,0,0,0,5,24,1,7,7,3,5,21,30,84,0,1
0,0,1,45,9,13,1,83,27,81,0,0,8,8,8,0,0,8,8,0,10,0,7,8,0,0,0,0,0,0,0,0,0,2,4,8,0,0,0,0,0,0,0,0,0,0,5,27,1,10,10,0,5,32,30,62,0,1
0,0,0,22,4,40,1,78,25,72,0,0,3,3,3,0,0,3,4,0,10,0,6,3,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,5,26,0,13,13,0,5,14,23,47,0,1
0,0,0,29,0,14,1,78,26,83,0,0,0,0,0,0,0,0,0,0,10,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,26,0,12,12,16,5,37,19,63,0,1
0,0,0,10,0,34,1,74,26,77,0,0,0,0,0,0,0,0,0,0,10,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,24,0,12,12,6,5,22,19,59,0,1
0,0,0,0,0,14,1,75,22,80,0,0,0,0,0,0,0,0,2,0,10,0,6,1,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,5,27,0,11,11,5,5,29,21,48,0,1
0,0,1,67,11,38,1,81,28,74,0,0,11,11,11,0,0,11,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,2,5,10,0,0,0,0,0,0,0,0,0,0,5,25,1,5,5,4,5,19,25,63,0,1
0,0,1,23,9,28,1,76,18,79,0,0,8,8,8,0,0,8,10,0,10,0,6,9,0,0,0,0,0,0,0,0,0,2,3,9,0,0,0,0,0,0,0,0,0,0,5,26,1,9,9,6,5,26,33,45,0,1
0,0,0,0,10,24,1,77,28,75,0,0,10,10,10,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,2,5,10,0,0,0,0,0,0,0,0,0,0,5,26,0,5,5,5,5,11,27,66,0,1
0,0,1,0,10,18,1,73,29,79,0,0,10,10,10,0,0,10,8,0,10,0,7,10,0,0,0,0,0,0,0,0,0,2,4,10,0,0,0,0,0,0,0,0,0,0,5,26,1,5,5,3,5,46,27,58,0,1
0,0,1,71,9,0,1,81,28,77,0,0,8,8,8,0,0,8,10,0,10,0,6,9,0,0,0,0,0,0,0,0,0,3,4,9,0,0,0,0,0,0,0,0,0,0,5,25,1,12,12,0,5,27,29,50,0,1
0,0,1,27,9,60,1,77,16,70,0,0,8,8,8,0,0,8,8,0,10,0,6,9,0,0,0,0,0,0,0,0,0,2,4,9,0,0,0,0,0,0,0,0,0,0,5,26,1,10,10,0,5,25,30,63,0,1
0,0,0,33,9,26,1,76,36,83,0,0,10,9,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,2,3,10,0,0,0,0,0,0,0,0,0,0,5,25,0,5,5,17,5,19,30,46,0,1
0,0,1,25,10,21,1,77,25,71,0,0,8,9,8,0,0,8,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,3,4,10,0,0,0,0,0,0,0,0,0,0,5,25,1,8,8,4,4,30,30,54,0,1
0,0,2,20,3,21,1,76,26,74,0,0,3,3,3,0,0,3,6,0,3,0,6,5,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,5,26,2,7,7,5,5,25,32,58,0,1
0,0,1,22,10,33,1,78,18,81,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,1,5,10,0,0,0,0,0,0,0,0,0,0,5,25,1,5,5,5,5,29,30,66,0,1
0,0,2,26,10,27,1,78,33,75,0,0,10,10,10,0,0,10,8,0,10,0,6,10,0,0,0,0,0,0,0,0,0,2,4,10,0,0,0,0,0,0,0,0,0,0,5,26,2,5,5,4,5,23,28,56,0,1
0,0,1,30,10,21,1,77,21,83,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,3,4,10,0,0,0,0,0,0,0,0,0,0,5,26,1,5,5,5,4,8,21,43,0,1
0,0,1,31,10,25,1,74,26,75,0,0,10,10,10,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,3,4,10,0,0,0,0,0,0,0,0,0,0,5,26,1,5,5,5,5,0,29,66,0,1
0,0,1,25,10,31,1,79,26,77,0,0,10,10,10,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,3,4,10,0,0,0,0,0,0,0,0,0,0,5,25,1,5,5,4,4,0,30,47,0,1
0,0,1,19,7,25,1,76,24,78,0,0,6,6,6,0,0,6,10,0,10,0,6,9,0,0,0,0,0,0,0,0,0,2,4,9,0,0,0,0,0,0,0,0,0,0,5,27,1,9,9,4,4,91,28,59,0,1
0,0,0,28,9,22,1,76,31,79,0,0,9,9,9,0,0,9,10,0,8,0,7,10,0,0,0,0,0,0,0,0,0,2,5,10,0,0,0,0,0,0,0,0,0,0,5,25,0,5,5,5,5,31,30,62,0,1
0,0,1,26,9,26,1,80,23,72,0,0,9,9,9,0,0,9,10,0,9,0,7,9,0,0,0,0,0,0,0,0,0,2,5,9,0,0,0,0,0,0,0,0,0,0,5,26,1,9,9,4,4,25,34,57,0,1
0,0,1,30,6,29,1,72,23,72,0,0,6,6,6,0,0,6,10,0,7,0,7,10,0,0,0,0,0,0,0,0,0,3,4,10,0,0,0,0,0,0,0,0,0,0,5,26,1,4,4,5,5,20,28,51,0,1
0,0,1,21,2,17,1,78,22,80,0,0,1,1,1,0,0,1,2,0,4,0,7,3,0,0,0,0,0,0,0,0,0,2,2,6,0,0,0,0,0,0,0,0,0,0,5,24,1,14,14,5,5,32,29,60,0,1
0,0,0,27,7,31,1,79,28,77,0,0,6,6,6,0,0,6,10,0,9,0,7,9,0,0,0,0,0,0,0,0,0,2,5,9,0,0,0,0,0,0,0,0,0,0,5,26,0,10,10,5,5,26,25,52,0,1
0,0,1,28,8,28,1,77,29,80,0,0,8,8,8,0,0,8,10,0,8,0,7,10,0,0,0,0,0,0,0,0,0,4,2,10,0,0,0,0,0,0,0,0,0,0,5,25,1,6,6,5,5,14,31,57,0,1
0,0,0,24,8,24,1,78,29,80,0,0,8,8,8,0,0,8,10,0,8,0,6,10,0,0,0,0,0,0,0,0,0,2,3,10,0,0,0,0,0,0,0,0,0,0,5,25,0,8,8,5,5,34,32,59,0,1
0,0,1,28,7,29,1,73,21,67,0,0,6,6,6,0,0,6,8,0,8,0,5,9,0,0,0,0,0,0,0,0,0,2,3,9,0,0,0,0,0,0,0,0,0,0,5,27,1,11,11,5,5,29,28,53,0,1
0,0,1,25,8,26,1,76,29,83,0,0,8,8,8,0,0,8,10,0,8,0,5,9,0,0,0,0,0,0,0,0,0,2,5,9,0,0,0,0,0,0,0,0,0,0,5,24,1,8,8,5,5,25,28,46,0,1
0,0,1,26,8,20,1,79,23,77,0,0,8,8,8,0,0,8,10,0,9,0,8,10,0,0,0,0,0,0,0,0,0,2,6,10,0,0,0,0,0,0,0,0,0,0,5,28,1,5,5,5,5,23,27,65,0,1
0,0,1,15,9,27,1,78,25,74,0,0,8,8,8,0,0,8,10,0,10,0,5,9,0,0,0,0,0,0,0,0,0,3,4,9,0,0,0,0,0,0,0,0,0,0,5,25,1,12,12,5,5,22,31,61,0,1
0,0,0,36,7,26,1,75,25,76,0,0,6,6,6,0,0,6,10,0,8,0,8,9,0,0,0,0,0,0,0,0,0,2,5,9,0,0,0,0,0,0,0,0,0,0,5,26,0,11,11,5,5,30,30,42,0,1
0,0,0,26,10,21,1,80,28,75,0,0,9,9,9,0,0,9,10,0,10,0,6,9,0,0,0,0,0,0,0,0,0,2,4,9,0,0,0,0,0,0,0,0,0,0,5,25,0,8,8,5,5,17,29,65,0,1
0,0,1,23,7,30,1,74,26,85,0,0,7,7,7,0,0,7,10,0,7,0,6,10,0,0,0,0,0,0,0,0,0,2,5,10,0,0,0,0,0,0,0,0,0,0,5,26,1,6,6,5,5,0,30,62,0,1
0,0,1,27,6,29,1,79,28,68,0,0,5,5,5,0,0,5,10,0,8,0,7,9,0,0,0,0,0,0,0,0,0,3,4,9,0,0,0,0,0,0,0,0,0,0,5,25,1,11,11,5,5,0,27,50,0,1
0,0,0,27,10,26,1,74,26,77,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,5,25,0,6,6,5,5,83,28,60,0,1
0,0,2,20,10,24,1,80,23,86,0,0,2,2,2,0,0,2,10,0,9,0,6,10,0,0,0,0,0,0,0,0,0,1,5,10,0,0,0,0,0,0,0,0,0,0,5,26,2,7,7,5,5,30,31,54,0,1
0,0,2,22,9,0,1,74,26,75,0,0,0,0,0,0,0,0,8,0,9,0,6,10,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,5,26,2,6,6,5,5,17,24,57,0,1
0,0,2,27,10,53,1,75,26,70,0,0,0,0,0,0,0,0,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,5,27,2,6,6,5,5,35,26,60,0,1
0,0,1,33,9,26,1,79,23,81,0,0,6,6,6,0,0,6,12,1,10,0,7,10,0,0,0,0,0,0,0,0,1,0,6,10,0,0,0,0,0,0,0,0,0,1,7,25,1,7,7,5,5,25,32,55,0,1
0,0,1,18,9,19,1,80,20,74,0,0,9,9,9,0,0,9,10,0,9,0,6,10,0,0,0,0,0,0,0,0,0,3,2,10,0,0,0,0,0,0,0,0,0,0,5,24,1,6,6,5,5,26,33,46,0,1
0,0,1,27,9,24,1,76,26,83,0,0,8,8,8,0,0,8,10,0,10,0,7,9,0,0,0,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,0,5,25,1,10,10,4,5,26,25,64,0,1
0,0,1,29,10,21,1,76,29,77,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,2,4,10,0,0,0,0,0,0,0,0,0,0,5,28,1,5,5,6,5,25,31,50,0,1
0,0,1,26,8,38,1,78,32,76,0,0,6,6,6,0,0,6,10,0,10,0,7,8,0,0,0,0,0,0,0,0,0,2,3,8,0,0,0,0,0,0,0,0,0,0,5,26,1,13,13,5,5,23,30,67,0,1
0,0,0,17,9,24,1,70,23,70,0,0,8,8,8,0,0,8,8,0,10,0,7,9,0,0,0,0,0,0,0,0,0,2,5,9,0,0,0,0,0,0,0,0,0,0,5,23,0,11,11,4,4,24,29,45,0,1
0,0,1,37,7,25,1,83,26,88,0,0,5,5,5,0,0,5,10,0,10,0,6,7,0,0,0,0,0,0,0,0,0,2,5,7,0,0,0,0,0,0,0,0,0,0,5,26,1,13,13,6,6,19,29,66,0,1
0,0,0,8,10,27,1,74,26,69,0,0,10,10,10,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,1,5,10,0,0,0,0,0,0,0,0,0,0,5,26,0,8,8,4,4,26,27,39,0,1
0,0,1,36,8,27,1,81,27,84,0,0,6,6,6,0,0,6,8,0,10,0,7,8,0,0,0,0,0,0,0,0,0,2,5,8,0,0,0,0,0,0,0,0,0,0,5,27,1,12,12,5,5,36,33,30,0,1
0,0,1,29,8,25,1,75,19,74,0,0,6,6,6,0,0,6,10,0,10,0,7,8,0,0,0,0,0,0,0,0,0,3,4,8,0,0,0,0,0,0,0,0,0,0,5,25,1,12,12,5,5,26,30,59,0,1
0,0,1,26,9,26,1,78,32,68,0,0,8,8,8,0,0,8,10,0,10,0,6,8,0,0,0,0,0,0,0,0,0,1,6,8,0,0,0,0,0,0,0,0,0,0,5,27,1,10,10,4,4,17,28,94,0,1
0,0,0,22,8,24,1,78,26,81,0,0,6,6,6,0,0,6,10,0,10,0,6,9,0,0,0,0,0,0,0,0,0,3,4,8,0,0,0,0,0,0,0,0,0,0,5,23,0,13,13,5,5,28,29,52,0,1
0,0,1,31,10,22,1,68,23,79,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,4,3,10,0,0,0,0,0,0,0,0,0,0,5,25,1,6,6,4,4,29,33,56,0,1
0,0,0,20,10,22,1,85,20,80,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,0,5,29,0,5,5,6,6,21,29,55,0,1
0,0,1,25,10,27,1,74,24,75,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,1,5,10,0,0,0,0,0,0,0,0,0,0,5,24,1,6,6,5,5,33,30,57,0,1
0,0,1,32,9,30,1,78,26,76,0,0,8,8,8,0,0,8,8,0,10,0,7,10,0,0,0,0,0,0,0,0,0,2,5,9,0,0,0,0,0,0,0,0,0,0,5,26,1,9,9,5,5,18,24,31,0,1
0,0,1,24,7,25,1,78,35,81,0,0,5,5,5,0,0,5,8,0,10,0,6,8,0,0,0,0,0,0,0,0,0,2,6,7,0,0,0,0,0,0,0,0,0,0,5,26,1,13,13,4,4,0,29,30,0,1
