Counter(/execute_trajectory/feedback),Counter(/execute_trajectory/goal),Counter(/execute_trajectory/result),Counter(/execute_trajectory/status),Counter(/franka_control/error_recovery/status),Counter(/franka_gripper/grasp/goal),Counter(/franka_gripper/grasp/result),Counter(/franka_gripper/grasp/status),Counter(/franka_gripper/gripper_action/status),Counter(/franka_gripper/homing/status),Counter(/franka_gripper/joint_states),Counter(/franka_gripper/move/goal),Counter(/franka_gripper/move/result),Counter(/franka_gripper/move/status),Counter(/franka_gripper/stop/status),Counter(/franka_state_controller/F_ext),Counter(/franka_state_controller/franka_states),Counter(/franka_state_controller/joint_states),Counter(/franka_state_controller/joint_states_desired),Counter(/joint_states),Counter(/joint_states_desired),Counter(/move_group/display_planned_path),Counter(/move_group/feedback),Counter(/move_group/goal),Counter(/move_group/monitored_planning_scene),Counter(/move_group/ompl/parameter_descriptions),Counter(/move_group/ompl/parameter_updates),Counter(/move_group/plan_execution/parameter_descriptions),Counter(/move_group/plan_execution/parameter_updates),Counter(/move_group/planning_scene_monitor/parameter_descriptions),Counter(/move_group/planning_scene_monitor/parameter_updates),Counter(/move_group/result),Counter(/move_group/sense_for_plan/parameter_descriptions),Counter(/move_group/sense_for_plan/parameter_updates),Counter(/move_group/status),Counter(/move_group/trajectory_execution/parameter_descriptions),Counter(/move_group/trajectory_execution/parameter_updates),Counter(/pickup/status),Counter(/place/status),Counter(/position_joint_trajectory_controller/follow_joint_trajectory/feedback),Counter(/position_joint_trajectory_controller/follow_joint_trajectory/goal),Counter(/position_joint_trajectory_controller/follow_joint_trajectory/result),Counter(/position_joint_trajectory_controller/follow_joint_trajectory/status),Counter(/position_joint_trajectory_controller/state),Counter(/rosout),Counter(/rosout_agg),Counter(/statistics),Counter(/tf),Counter(/tf_static)
4,5,5,43,33,1,1,103,102,102,96,0,0,100,101,112,110,112,116,114,119,6,4,1,69,1,1,1,1,1,1,2,1,1,25,1,1,98,46,106,2,3,103,112,56,29,109,120,1
0,0,0,3,0,0,0,1,3,3,1,0,0,2,0,7,19,0,17,12,18,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,3,19,2,0,0,3,38,0,0,9,24,0
1,1,0,3,4,0,0,2,2,2,12,0,0,3,6,25,15,0,12,19,15,1,2,1,2,0,0,0,0,0,0,1,0,0,4,0,0,3,1,5,1,0,3,25,7,7,11,40,0
0,0,0,3,4,0,0,4,3,1,6,0,0,0,2,9,15,0,17,15,13,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,3,4,11,0,0,3,25,0,0,14,30,0
0,0,0,1,2,0,0,1,0,4,3,0,0,0,4,13,13,62,5,9,17,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,2,10,0,0,2,21,0,0,6,40,0
0,0,0,2,0,0,0,0,3,3,3,0,0,0,2,16,11,14,22,19,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,3,9,0,0,2,20,0,0,10,26,0
2,1,1,6,5,0,0,7,2,1,9,0,0,0,3,18,0,15,12,17,15,1,0,1,4,0,0,0,0,0,0,1,0,0,5,0,0,2,2,4,1,1,5,34,9,10,8,33,0
0,0,0,3,1,0,0,2,4,3,1,0,0,0,2,0,8,15,13,14,14,0,2,0,2,0,0,0,0,0,0,0,0,0,3,0,0,3,3,1,0,0,3,9,1,0,3,17,0
0,0,0,2,4,0,0,3,3,3,5,0,0,0,3,30,0,9,17,12,16,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,19,0,0,2,39,0,0,12,40,0
0,0,0,3,2,0,0,2,3,3,12,0,0,0,1,7,0,14,0,16,15,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,2,3,10,0,0,3,23,0,0,4,27,0
