Counter(/execute_trajectory/feedback),Counter(/execute_trajectory/goal),Counter(/execute_trajectory/result),Counter(/execute_trajectory/status),Counter(/franka_control/error_recovery/status),Counter(/franka_gripper/grasp/goal),Counter(/franka_gripper/grasp/result),Counter(/franka_gripper/grasp/status),Counter(/franka_gripper/gripper_action/status),Counter(/franka_gripper/homing/status),Counter(/franka_gripper/joint_states),Counter(/franka_gripper/move/goal),Counter(/franka_gripper/move/result),Counter(/franka_gripper/move/status),Counter(/franka_gripper/stop/status),Counter(/franka_state_controller/F_ext),Counter(/franka_state_controller/franka_states),Counter(/franka_state_controller/joint_states),Counter(/franka_state_controller/joint_states_desired),Counter(/joint_states),Counter(/joint_states_desired),Counter(/move_group/display_planned_path),Counter(/move_group/feedback),Counter(/move_group/goal),Counter(/move_group/monitored_planning_scene),Counter(/move_group/ompl/parameter_descriptions),Counter(/move_group/ompl/parameter_updates),Counter(/move_group/plan_execution/parameter_descriptions),Counter(/move_group/plan_execution/parameter_updates),Counter(/move_group/planning_scene_monitor/parameter_descriptions),Counter(/move_group/planning_scene_monitor/parameter_updates),Counter(/move_group/result),Counter(/move_group/sense_for_plan/parameter_descriptions),Counter(/move_group/sense_for_plan/parameter_updates),Counter(/move_group/status),Counter(/move_group/trajectory_execution/parameter_descriptions),Counter(/move_group/trajectory_execution/parameter_updates),Counter(/pickup/status),Counter(/place/status),Counter(/position_joint_trajectory_controller/follow_joint_trajectory/feedback),Counter(/position_joint_trajectory_controller/follow_joint_trajectory/goal),Counter(/position_joint_trajectory_controller/follow_joint_trajectory/result),Counter(/position_joint_trajectory_controller/follow_joint_trajectory/status),Counter(/position_joint_trajectory_controller/state),Counter(/rosout),Counter(/rosout_agg),Counter(/statistics),Counter(/tf),Counter(/tf_static)
5,9,7,28,36,1,1,103,103,102,101,0,0,102,102,100,100,101,114,113,109,10,6,2,79,1,1,1,1,1,1,2,1,1,23,1,1,101,58,121,3,4,103,114,69,54,110,119,1
2,0,0,2,3,0,0,2,2,3,8,0,0,2,3,0,0,24,10,16,25,0,2,0,2,0,0,0,0,0,0,1,0,0,3,0,0,4,3,6,1,0,4,7,1,3,8,39,0
0,0,0,2,2,0,0,3,3,2,7,0,0,3,2,58,28,15,15,15,8,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,13,0,0,2,54,0,0,5,36,0
0,0,0,4,3,0,0,2,2,3,8,0,0,2,3,15,16,12,15,11,22,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,3,2,5,0,0,3,25,0,0,4,37,0
0,0,0,3,2,0,0,3,3,2,5,0,0,3,2,12,14,16,14,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,4,0,1,3,21,1,0,6,24,0
2,1,1,4,2,0,0,1,2,1,7,0,0,2,3,9,13,15,18,13,10,1,2,1,5,0,0,0,0,0,0,1,0,0,5,0,0,5,4,12,0,0,4,29,3,10,16,33,0
0,0,0,3,3,0,0,4,2,4,11,0,0,3,2,20,10,20,14,12,20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9,1,0,2,24,6,0,10,27,0
0,0,0,2,3,0,0,2,3,3,3,0,0,2,3,15,20,13,13,20,14,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,3,3,4,0,0,0,9,0,0,3,35,0
0,0,0,3,0,0,0,3,3,2,0,0,0,3,2,17,10,11,19,19,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,18,0,1,2,6,1,1,10,18,0
1,0,1,3,4,0,0,1,2,3,17,0,0,1,1,15,17,20,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,3,0,0,0,7,60,2,2,6,28,0
0,1,0,4,3,0,0,3,2,2,0,1,0,5,0,14,13,11,3,22,23,1,2,1,0,0,0,0,0,0,0,1,0,0,4,0,0,3,2,4,1,0,1,26,7,7,7,23,0
1,0,0,2,3,0,0,3,0,3,17,0,0,2,0,15,20,17,26,15,22,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0,3,2,8,0,0,5,18,0,0,7,45,0
0,0,0,3,2,0,0,3,6,0,6,0,1,4,0,10,8,13,5,14,17,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,2,3,12,0,0,2,27,0,0,2,28,0
0,0,0,2,3,0,0,2,2,5,6,0,0,2,0,17,22,15,23,13,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,0,2,25,0,0,9,17,0
0,0,0,3,2,0,0,3,3,2,6,0,0,2,0,11,14,16,11,15,16,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,1,12,0,0,3,30,0,0,12,41,0
1,0,0,1,3,0,0,2,2,3,9,0,0,3,0,21,14,11,19,14,17,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,3,2,6,0,0,4,23,1,1,9,26,0
