Counter(/amcl/parameter_descriptions),Counter(/amcl/parameter_updates),Counter(/amcl_pose),Counter(/battery_state),Counter(/cmd_vel),Counter(/cmd_vel_rc100),Counter(/diagnostics),Counter(/imu),Counter(/joint_states),Counter(/magnetic_field),Counter(/map),Counter(/map_metadata),Counter(/move_base/DWAPlannerROS/cost_cloud),Counter(/move_base/DWAPlannerROS/global_plan),Counter(/move_base/DWAPlannerROS/local_plan),Counter(/move_base/DWAPlannerROS/parameter_descriptions),Counter(/move_base/DWAPlannerROS/parameter_updates),Counter(/move_base/DWAPlannerROS/trajectory_cloud),Counter(/move_base/NavfnROS/plan),Counter(/move_base/current_goal),Counter(/move_base/feedback),Counter(/move_base/global_costmap/costmap),Counter(/move_base/global_costmap/costmap_updates),Counter(/move_base/global_costmap/footprint),Counter(/move_base/global_costmap/inflation_layer/parameter_descriptions),Counter(/move_base/global_costmap/inflation_layer/parameter_updates),Counter(/move_base/global_costmap/obstacle_layer/parameter_descriptions),Counter(/move_base/global_costmap/obstacle_layer/parameter_updates),Counter(/move_base/global_costmap/parameter_descriptions),Counter(/move_base/global_costmap/parameter_updates),Counter(/move_base/global_costmap/static_layer/parameter_descriptions),Counter(/move_base/global_costmap/static_layer/parameter_updates),Counter(/move_base/goal),Counter(/move_base/local_costmap/costmap),Counter(/move_base/local_costmap/costmap_updates),Counter(/move_base/local_costmap/footprint),Counter(/move_base/local_costmap/inflation_layer/parameter_descriptions),Counter(/move_base/local_costmap/inflation_layer/parameter_updates),Counter(/move_base/local_costmap/obstacle_layer/parameter_descriptions),Counter(/move_base/local_costmap/obstacle_layer/parameter_updates),Counter(/move_base/local_costmap/parameter_descriptions),Counter(/move_base/local_costmap/parameter_updates),Counter(/move_base/parameter_descriptions),Counter(/move_base/parameter_updates),Counter(/move_base/recovery_status),Counter(/move_base/result),Counter(/move_base/status),Counter(/odom),Counter(/particlecloud),Counter(/rosout),Counter(/rosout_agg),Counter(/rpms),Counter(/scan),Counter(/sensor_state),Counter(/statistics),Counter(/tf),Counter(/tf_static),Counter(/version_info)
0,0,1,23,9,26,1,79,23,79,0,0,9,9,9,0,0,9,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,2,4,10,0,0,0,0,0,0,0,0,0,0,5,27,1,5,5,5,5,33,31,53,0,1
0,0,1,28,11,25,1,74,27,78,0,0,11,11,11,0,0,11,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,3,4,10,0,0,0,0,0,0,0,0,0,0,5,25,1,5,5,5,5,19,32,60,0,1
0,0,0,26,10,29,1,79,22,68,0,0,10,10,10,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,0,5,25,0,5,5,4,5,24,23,57,0,1
0,0,1,26,10,21,1,75,32,85,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,3,4,10,0,0,0,0,0,0,0,0,0,0,5,26,1,5,5,6,5,34,29,55,0,1
0,0,1,25,10,30,1,79,25,76,0,0,10,10,10,0,0,10,10,0,10,0,5,10,0,0,0,0,0,0,0,0,0,5,2,10,0,0,0,0,0,0,0,0,0,0,5,26,1,6,6,5,5,22,32,54,0,1
0,0,0,21,10,24,1,75,18,74,0,0,10,10,10,0,0,10,10,0,10,0,5,10,0,0,0,0,0,0,0,0,0,3,4,10,0,0,0,0,0,0,0,0,0,0,5,25,0,5,5,5,5,21,28,55,0,1
0,0,2,31,10,22,1,79,25,77,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,5,25,2,5,5,5,5,26,30,57,0,1
0,0,2,21,10,32,1,79,34,79,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,2,4,10,0,0,0,0,0,0,0,0,0,0,5,26,2,5,5,4,4,27,30,50,0,1
0,0,1,28,10,19,1,77,23,68,0,0,10,10,10,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,4,3,10,0,0,0,0,0,0,0,0,0,0,5,27,1,5,5,5,5,32,28,64,0,1
0,0,1,27,10,28,1,71,28,87,0,0,10,10,10,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,0,5,25,1,5,5,5,5,23,28,55,0,1
0,0,1,20,9,24,1,80,26,76,0,0,8,8,8,0,0,8,10,0,10,0,6,9,0,0,0,0,0,0,0,0,0,2,5,9,0,0,0,0,0,0,0,0,0,0,5,26,1,10,10,4,4,28,29,52,0,1
0,0,1,7,10,23,1,75,25,77,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,2,4,10,0,0,0,0,0,0,0,0,0,0,5,25,1,5,5,3,5,21,31,57,0,1
0,0,1,46,10,34,1,79,18,73,0,0,10,10,10,0,0,10,10,0,10,0,8,10,0,0,0,0,0,0,0,0,0,5,2,10,0,0,0,0,0,0,0,0,0,0,5,25,1,5,5,0,5,23,26,59,0,1
0,0,1,26,10,21,1,80,34,81,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,4,2,10,0,0,0,0,0,0,0,0,0,0,5,27,1,5,5,0,5,33,31,58,0,1
0,0,1,28,10,31,1,75,24,78,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,0,5,24,1,5,5,17,5,25,29,45,0,1
0,0,1,27,10,19,1,78,27,77,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,3,2,10,0,0,0,0,0,0,0,0,0,0,5,27,1,5,5,3,5,19,31,67,0,1
0,0,0,21,9,23,1,73,16,63,0,0,8,8,8,0,0,8,8,0,10,0,8,9,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,0,5,25,0,10,10,7,5,31,27,54,0,1
0,0,1,25,10,32,1,76,35,89,0,0,10,10,10,0,0,10,10,0,10,0,5,10,0,0,0,0,0,0,0,0,0,2,3,10,0,0,0,0,0,0,0,0,0,0,5,26,1,5,5,5,5,21,26,51,0,1
0,0,1,23,10,23,1,80,13,77,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,0,5,26,1,5,5,5,5,32,32,62,0,1
0,0,0,34,10,28,1,77,0,76,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,0,5,25,0,6,6,5,5,26,26,53,0,1
0,0,1,17,1,25,1,74,63,68,0,0,0,0,0,0,0,0,2,0,10,0,5,2,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,5,26,1,13,13,5,5,25,20,50,0,1
0,0,0,34,6,29,1,82,27,89,0,0,6,6,6,0,0,6,8,0,10,0,7,7,0,0,0,0,0,0,0,0,0,2,4,7,0,0,0,0,0,0,0,0,0,0,5,26,0,8,8,5,5,25,30,66,0,1
0,0,1,21,10,25,1,76,23,77,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,2,3,10,0,0,0,0,0,0,0,0,0,0,5,25,1,5,5,4,5,20,31,51,0,1
0,0,1,30,3,26,1,75,28,75,0,0,2,2,2,0,0,2,2,0,10,0,5,2,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,5,26,1,14,14,6,5,30,22,60,0,1
0,0,0,22,9,26,1,78,26,69,0,0,9,9,9,0,0,9,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,0,5,26,0,5,5,4,5,11,29,60,0,1
0,0,1,29,10,22,1,76,20,74,0,0,10,10,10,0,0,10,10,0,10,0,8,10,0,0,0,0,0,0,0,0,0,2,3,10,0,0,0,0,0,0,0,0,0,0,5,25,1,5,5,4,5,36,28,48,0,0
0,0,1,19,10,25,1,75,21,86,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,3,4,10,0,0,0,0,0,0,0,0,0,0,5,25,1,5,5,7,5,30,32,62,0,1
0,0,0,33,10,8,1,81,36,80,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,3,4,10,0,0,0,0,0,0,0,0,0,0,5,26,0,5,5,4,5,27,26,46,0,1
0,0,1,19,7,47,1,73,25,69,0,0,6,6,6,0,0,6,10,0,10,0,6,8,0,0,0,0,0,0,0,0,0,3,4,9,0,0,0,0,0,0,0,0,0,0,5,25,1,10,10,6,5,26,30,63,0,1
0,0,0,26,10,22,1,78,26,84,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,3,4,10,0,0,0,0,0,0,0,0,0,0,5,26,0,5,5,5,5,21,28,60,0,1
0,0,2,32,10,30,1,80,21,78,0,0,10,10,10,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,0,5,26,2,5,5,5,5,31,29,57,0,1
0,0,1,25,9,26,1,75,30,71,0,0,7,7,7,0,0,7,8,0,10,0,5,8,0,0,0,0,0,0,0,0,0,1,5,8,0,0,0,0,0,0,0,0,0,0,5,26,1,13,13,4,5,24,32,51,0,1
0,0,2,19,9,20,1,79,26,84,0,0,9,9,9,0,0,9,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,2,5,10,0,0,0,0,0,0,0,0,0,0,5,24,2,5,5,4,5,23,31,56,0,1
0,0,1,28,8,31,1,73,25,75,0,0,2,2,2,0,0,2,8,0,10,0,7,7,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,5,28,1,13,13,2,5,30,23,62,0,1
0,0,2,22,9,18,1,78,26,78,0,0,0,0,0,0,0,0,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,5,25,2,6,6,10,5,26,27,57,0,1
0,0,0,31,10,28,1,79,26,69,0,0,6,6,6,0,0,6,12,1,11,0,5,10,0,0,0,0,0,0,0,0,1,0,6,10,0,0,0,0,0,0,0,0,0,1,7,25,0,8,8,5,5,22,32,56,0,1
0,0,2,28,10,30,1,76,24,78,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,1,5,10,0,0,0,0,0,0,0,0,0,0,5,25,2,5,5,5,5,26,31,54,0,1
0,0,1,13,10,25,1,74,26,75,0,0,10,10,10,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,0,5,26,1,5,5,4,5,27,27,48,0,1
0,0,1,35,9,27,1,79,27,86,0,0,8,8,8,0,0,8,8,0,10,0,5,8,0,0,0,0,0,0,0,0,0,1,7,8,0,0,0,0,0,0,0,0,0,0,5,27,1,11,11,6,5,20,32,58,0,1
0,0,1,8,0,21,1,77,24,71,0,0,0,0,0,0,0,0,0,0,10,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,24,1,12,12,5,5,0,19,60,0,1
0,0,0,41,0,29,1,77,0,81,0,0,0,0,0,0,0,0,0,0,10,0,6,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5,27,0,12,12,5,5,0,20,51,0,1
0,0,0,28,4,27,1,77,53,75,0,0,4,4,4,0,0,4,6,0,10,0,6,5,0,0,0,0,0,0,0,0,0,1,6,5,0,0,0,0,0,0,0,0,0,0,5,25,0,7,7,5,5,0,28,60,0,1
0,0,0,8,8,26,1,77,20,79,0,0,7,7,7,0,0,7,8,0,10,0,8,8,0,0,0,0,0,0,0,0,0,5,1,9,0,0,0,0,0,0,0,0,0,0,5,26,0,11,11,4,5,0,28,54,0,1
0,0,1,47,10,25,1,79,29,76,0,0,10,10,10,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,4,2,10,0,0,0,0,0,0,0,0,0,0,5,26,1,5,5,6,5,0,24,60,0,1
0,0,1,18,10,20,1,74,20,73,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,4,1,10,0,0,0,0,0,0,0,0,0,0,5,24,1,6,6,4,5,0,30,52,0,1
0,0,0,33,8,31,1,76,25,82,0,0,8,8,8,0,0,8,10,0,8,0,5,10,0,0,0,0,0,0,0,0,0,3,2,10,0,0,0,0,0,0,0,0,0,0,5,27,0,5,5,5,5,0,27,56,0,1
0,0,1,21,8,21,1,78,34,76,0,0,8,8,8,0,0,8,10,0,9,0,7,10,0,0,0,0,0,0,0,0,0,4,1,10,0,0,0,0,0,0,0,0,0,0,5,25,1,4,4,4,5,0,24,59,0,1
0,0,1,23,11,24,1,75,23,71,0,0,11,11,11,0,0,11,10,0,10,0,8,10,0,0,0,0,0,0,0,0,0,4,2,10,0,0,0,0,0,0,0,0,0,0,5,23,1,7,7,6,4,237,29,50,0,1
0,0,0,25,9,33,1,81,28,83,0,0,9,9,9,0,0,9,10,0,9,0,7,10,0,0,0,0,0,0,0,0,0,5,1,10,0,0,0,0,0,0,0,0,0,0,5,29,0,5,5,5,5,26,32,64,0,1
0,0,1,0,9,20,1,74,25,64,0,0,9,9,9,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,3,4,10,0,0,0,0,0,0,0,0,0,0,5,23,1,6,6,5,5,21,27,46,0,1
0,0,0,59,9,27,1,79,26,88,0,0,9,9,9,0,0,8,10,0,9,0,6,10,0,0,0,0,0,0,0,0,0,2,3,10,0,0,0,0,0,0,0,0,0,0,5,28,0,5,5,5,5,30,29,59,0,1
0,0,2,26,10,29,1,75,19,75,0,0,10,10,10,0,0,10,10,0,9,0,7,10,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,0,5,26,2,7,7,5,5,25,32,51,0,1
0,0,0,26,8,26,1,78,28,78,0,0,6,6,6,0,0,6,8,0,10,0,6,8,0,0,0,0,0,0,0,0,0,2,3,8,0,0,0,0,0,0,0,0,0,0,5,25,0,12,12,5,5,27,25,61,0,1
0,0,1,20,10,23,1,75,29,80,0,0,10,10,10,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,2,4,10,0,0,0,0,0,0,0,0,0,0,5,24,1,6,6,5,5,18,30,62,0,1
0,0,1,31,8,28,1,80,20,75,0,0,8,8,8,0,0,8,10,0,9,0,6,9,0,0,0,0,0,0,0,0,0,2,4,9,0,0,0,0,0,0,0,0,0,0,5,28,1,8,8,4,5,33,31,49,0,1
0,0,1,26,9,22,1,76,32,78,0,0,8,8,8,0,0,8,10,0,10,0,8,9,0,0,0,0,0,0,0,0,0,3,4,8,0,0,0,0,0,0,0,0,0,0,5,25,1,8,8,6,5,24,30,61,0,1
0,0,0,19,9,29,1,76,26,76,0,0,8,8,8,0,0,8,10,0,9,0,7,9,0,0,0,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,0,5,25,0,9,9,5,5,8,30,59,0,1
0,0,1,27,8,22,1,77,25,78,0,0,8,8,8,0,0,8,10,0,9,0,6,10,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,0,5,25,1,6,6,4,5,45,32,56,0,1
0,0,1,7,9,29,1,78,19,76,0,0,8,8,8,0,0,8,8,0,9,0,6,9,0,0,0,0,0,0,0,0,0,2,4,9,0,0,0,0,0,0,0,0,0,0,5,25,1,9,9,5,4,25,27,57,0,1
0,0,1,49,10,24,1,77,27,78,0,0,10,10,10,0,0,10,10,0,11,0,6,10,0,0,0,0,0,0,0,0,0,4,2,10,0,0,0,0,0,0,0,0,0,0,5,27,1,5,5,5,5,26,29,55,0,1
