Counter(/execute_trajectory/feedback),Counter(/execute_trajectory/goal),Counter(/execute_trajectory/result),Counter(/execute_trajectory/status),Counter(/franka_control/error_recovery/status),Counter(/franka_gripper/grasp/goal),Counter(/franka_gripper/grasp/result),Counter(/franka_gripper/grasp/status),Counter(/franka_gripper/gripper_action/status),Counter(/franka_gripper/homing/status),Counter(/franka_gripper/joint_states),Counter(/franka_gripper/move/goal),Counter(/franka_gripper/move/result),Counter(/franka_gripper/move/status),Counter(/franka_gripper/stop/status),Counter(/franka_state_controller/F_ext),Counter(/franka_state_controller/franka_states),Counter(/franka_state_controller/joint_states),Counter(/franka_state_controller/joint_states_desired),Counter(/joint_states),Counter(/joint_states_desired),Counter(/move_group/display_planned_path),Counter(/move_group/feedback),Counter(/move_group/goal),Counter(/move_group/monitored_planning_scene),Counter(/move_group/ompl/parameter_descriptions),Counter(/move_group/ompl/parameter_updates),Counter(/move_group/plan_execution/parameter_descriptions),Counter(/move_group/plan_execution/parameter_updates),Counter(/move_group/planning_scene_monitor/parameter_descriptions),Counter(/move_group/planning_scene_monitor/parameter_updates),Counter(/move_group/result),Counter(/move_group/sense_for_plan/parameter_descriptions),Counter(/move_group/sense_for_plan/parameter_updates),Counter(/move_group/status),Counter(/move_group/trajectory_execution/parameter_descriptions),Counter(/move_group/trajectory_execution/parameter_updates),Counter(/pickup/status),Counter(/place/status),Counter(/position_joint_trajectory_controller/follow_joint_trajectory/feedback),Counter(/position_joint_trajectory_controller/follow_joint_trajectory/goal),Counter(/position_joint_trajectory_controller/follow_joint_trajectory/result),Counter(/position_joint_trajectory_controller/follow_joint_trajectory/status),Counter(/position_joint_trajectory_controller/state),Counter(/rosout),Counter(/rosout_agg),Counter(/statistics),Counter(/tf),Counter(/tf_static)
3,5,4,25,18,0,0,102,80,102,54,0,0,68,103,113,17,110,119,118,115,6,4,0,60,1,1,1,1,1,1,0,1,1,12,1,1,72,48,100,1,2,102,100,46,16,103,140,1
0,0,0,3,2,0,0,3,3,3,7,0,0,2,2,7,19,5,20,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,3,52,0,0,6,21,0
0,0,0,2,3,1,0,3,2,2,8,0,0,3,3,21,9,27,0,15,30,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,24,0,0,9,18,0
0,0,0,3,2,0,0,3,3,3,4,0,0,0,2,11,34,5,30,8,12,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,3,3,0,0,0,3,24,0,0,10,27,0
0,0,0,2,3,0,0,2,1,2,9,0,0,5,3,23,13,22,13,24,18,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,2,26,0,0,6,44,0
1,1,0,4,2,0,1,4,4,3,10,0,0,2,1,14,0,18,13,13,13,1,2,1,3,0,0,0,0,0,0,1,0,0,5,0,0,3,4,3,1,0,4,13,5,7,13,31,0
0,0,0,2,3,0,0,2,2,2,3,0,0,3,4,6,0,12,16,17,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,2,10,0,0,2,36,2,0,6,15,0
0,0,0,2,1,0,0,3,3,3,11,0,0,1,1,18,0,19,13,15,15,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,4,3,3,0,0,3,25,0,0,10,46,0
0,0,0,2,4,0,0,2,2,2,0,0,0,4,2,18,0,14,17,6,30,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,2,14,0,0,2,24,0,0,5,32,0
1,0,1,5,0,0,0,3,3,3,0,0,0,1,4,7,0,15,16,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,4,2,4,0,1,4,28,3,3,6,31,0
