Counter(/execute_trajectory/feedback),Counter(/execute_trajectory/goal),Counter(/execute_trajectory/result),Counter(/execute_trajectory/status),Counter(/franka_control/error_recovery/status),Counter(/franka_gripper/grasp/goal),Counter(/franka_gripper/grasp/result),Counter(/franka_gripper/grasp/status),Counter(/franka_gripper/gripper_action/status),Counter(/franka_gripper/homing/status),Counter(/franka_gripper/joint_states),Counter(/franka_gripper/move/goal),Counter(/franka_gripper/move/result),Counter(/franka_gripper/move/status),Counter(/franka_gripper/stop/status),Counter(/franka_state_controller/F_ext),Counter(/franka_state_controller/franka_states),Counter(/franka_state_controller/joint_states),Counter(/franka_state_controller/joint_states_desired),Counter(/joint_states),Counter(/joint_states_desired),Counter(/move_group/display_planned_path),Counter(/move_group/feedback),Counter(/move_group/goal),Counter(/move_group/monitored_planning_scene),Counter(/move_group/ompl/parameter_descriptions),Counter(/move_group/ompl/parameter_updates),Counter(/move_group/plan_execution/parameter_descriptions),Counter(/move_group/plan_execution/parameter_updates),Counter(/move_group/planning_scene_monitor/parameter_descriptions),Counter(/move_group/planning_scene_monitor/parameter_updates),Counter(/move_group/result),Counter(/move_group/sense_for_plan/parameter_descriptions),Counter(/move_group/sense_for_plan/parameter_updates),Counter(/move_group/status),Counter(/move_group/trajectory_execution/parameter_descriptions),Counter(/move_group/trajectory_execution/parameter_updates),Counter(/pickup/status),Counter(/place/status),Counter(/position_joint_trajectory_controller/follow_joint_trajectory/feedback),Counter(/position_joint_trajectory_controller/follow_joint_trajectory/goal),Counter(/position_joint_trajectory_controller/follow_joint_trajectory/result),Counter(/position_joint_trajectory_controller/follow_joint_trajectory/status),Counter(/position_joint_trajectory_controller/state),Counter(/rosout),Counter(/rosout_agg),Counter(/statistics),Counter(/tf),Counter(/tf_static)
4,6,6,33,28,1,0,102,91,101,79,0,1,85,102,115,0,112,110,115,110,7,4,0,61,1,1,1,1,1,1,1,1,1,21,1,1,100,60,100,2,3,103,122,56,27,108,105,1
1,1,0,3,2,0,1,4,1,4,9,0,0,3,3,7,0,9,18,14,24,1,2,1,2,0,0,0,0,0,0,1,0,0,4,0,0,2,2,3,1,0,3,0,0,7,16,35,0
0,0,0,3,3,0,0,2,4,3,7,0,0,2,2,18,0,18,11,15,15,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,2,3,9,0,0,3,56,5,0,5,8,0
0,0,0,2,2,0,0,3,2,0,5,0,0,3,3,15,0,19,12,0,15,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,11,0,0,2,5,2,0,6,28,0
0,0,0,2,3,0,0,2,3,5,6,0,0,2,2,9,0,13,20,8,14,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,3,10,0,1,4,46,1,0,10,21,0
1,0,1,4,0,0,0,3,2,1,8,0,0,3,2,25,8,18,18,0,16,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,2,25,2,3,7,76,0
0,0,0,0,5,0,0,1,3,4,4,0,0,2,2,7,4,11,13,0,15,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,10,3,0,0,0,2,26,0,0,7,23,0
0,0,0,2,2,0,0,4,2,2,11,0,0,3,4,0,2,17,12,0,12,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,3,2,0,0,0,3,14,0,0,4,37,0
0,1,0,4,3,0,0,2,3,3,1,0,0,1,2,26,3,15,19,0,18,1,2,1,1,0,0,0,0,0,0,0,0,0,4,0,0,3,2,2,1,0,4,36,7,7,13,37,0
1,0,0,4,2,0,0,3,2,1,14,0,0,4,3,25,40,14,12,0,15,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,2,3,10,0,0,2,20,0,0,9,30,0
0,0,0,4,3,0,0,2,3,4,9,0,0,2,2,12,3,13,13,60,15,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,3,3,10,0,0,3,31,0,0,9,20,0
0,0,0,2,2,0,0,3,2,2,7,0,0,3,3,18,21,6,19,67,12,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,2,10,0,0,0,24,0,0,7,33,0
1,0,1,4,3,0,0,2,3,3,5,0,0,2,2,14,18,21,10,16,15,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,3,3,7,0,1,6,11,3,0,11,33,0
1,1,0,3,2,0,0,3,2,2,5,0,0,3,2,8,16,15,18,15,14,1,2,1,1,0,0,0,0,0,0,1,0,0,3,0,0,2,2,1,1,0,3,41,1,0,11,20,0
0,0,0,3,2,0,0,2,3,3,14,0,0,1,3,22,16,19,16,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,2,3,9,0,0,3,19,6,10,11,44,0
0,0,0,1,2,0,0,3,2,2,10,0,0,4,1,2,14,1,6,15,33,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,3,2,10,0,0,2,17,0,0,5,15,0
0,0,0,4,4,0,0,1,3,3,4,0,0,2,4,0,14,28,0,18,16,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,3,3,11,0,0,3,15,0,0,6,37,0
1,0,1,0,2,0,0,2,2,1,6,0,0,1,3,0,14,10,15,10,15,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,2,7,0,0,3,49,0,1,9,1,0
0,0,0,6,3,0,0,4,2,0,10,0,0,4,0,24,14,15,36,21,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,3,0,0,1,3,25,3,2,7,41,0
0,0,0,1,2,0,0,2,2,6,5,0,0,3,5,46,16,14,16,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,2,25,0,0,7,51,0
0,0,0,4,1,0,0,3,4,3,7,0,0,2,2,7,3,11,15,1,15,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,2,23,0,0,3,8,0
0,1,0,2,4,0,0,3,1,2,2,0,0,3,3,23,0,19,9,40,15,1,2,1,2,0,0,0,0,0,0,1,0,0,6,0,0,1,0,2,1,0,4,25,7,7,15,45,0
