Counter(/amcl/parameter_descriptions),Counter(/amcl/parameter_updates),Counter(/amcl_pose),Counter(/battery_state),Counter(/cmd_vel),Counter(/cmd_vel_rc100),Counter(/diagnostics),Counter(/imu),Counter(/joint_states),Counter(/magnetic_field),Counter(/map),Counter(/map_metadata),Counter(/move_base/DWAPlannerROS/cost_cloud),Counter(/move_base/DWAPlannerROS/global_plan),Counter(/move_base/DWAPlannerROS/local_plan),Counter(/move_base/DWAPlannerROS/parameter_descriptions),Counter(/move_base/DWAPlannerROS/parameter_updates),Counter(/move_base/DWAPlannerROS/trajectory_cloud),Counter(/move_base/NavfnROS/plan),Counter(/move_base/current_goal),Counter(/move_base/feedback),Counter(/move_base/global_costmap/costmap),Counter(/move_base/global_costmap/costmap_updates),Counter(/move_base/global_costmap/footprint),Counter(/move_base/global_costmap/inflation_layer/parameter_descriptions),Counter(/move_base/global_costmap/inflation_layer/parameter_updates),Counter(/move_base/global_costmap/obstacle_layer/parameter_descriptions),Counter(/move_base/global_costmap/obstacle_layer/parameter_updates),Counter(/move_base/global_costmap/parameter_descriptions),Counter(/move_base/global_costmap/parameter_updates),Counter(/move_base/global_costmap/static_layer/parameter_descriptions),Counter(/move_base/global_costmap/static_layer/parameter_updates),Counter(/move_base/goal),Counter(/move_base/local_costmap/costmap),Counter(/move_base/local_costmap/costmap_updates),Counter(/move_base/local_costmap/footprint),Counter(/move_base/local_costmap/inflation_layer/parameter_descriptions),Counter(/move_base/local_costmap/inflation_layer/parameter_updates),Counter(/move_base/local_costmap/obstacle_layer/parameter_descriptions),Counter(/move_base/local_costmap/obstacle_layer/parameter_updates),Counter(/move_base/local_costmap/parameter_descriptions),Counter(/move_base/local_costmap/parameter_updates),Counter(/move_base/parameter_descriptions),Counter(/move_base/parameter_updates),Counter(/move_base/result),Counter(/move_base/status),Counter(/odom),Counter(/particlecloud),Counter(/rosout),Counter(/rosout_agg),Counter(/rpms),Counter(/scan),Counter(/sensor_state),Counter(/statistics),Counter(/tf),Counter(/tf_static),Counter(/version_info)
0,0,0,19,10,18,1,76,19,65,0,0,10,10,10,0,0,10,10,0,10,0,5,10,0,0,0,0,0,0,0,0,0,2,3,9,0,0,0,0,0,0,0,0,0,5,25,0,5,5,5,5,19,42,42,0,1
0,0,1,29,10,29,1,67,28,78,0,0,10,10,10,0,0,10,9,0,10,0,6,10,0,0,0,0,0,0,0,0,0,3,4,11,0,0,0,0,0,0,0,0,0,5,22,1,5,5,4,4,29,54,55,0,1
0,0,1,29,10,29,1,88,30,88,0,0,10,10,10,0,0,10,11,0,10,0,6,10,0,0,0,0,0,0,0,0,0,5,1,10,0,0,0,0,0,0,0,0,0,5,30,1,5,5,6,6,29,63,59,0,1
0,0,1,24,10,24,1,70,24,70,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,5,23,1,5,5,5,5,24,57,54,0,1
0,0,1,22,10,24,1,73,22,69,0,0,10,10,10,0,0,10,9,0,10,0,6,10,0,0,0,0,0,0,0,0,0,1,5,10,0,0,0,0,0,0,0,0,0,5,24,1,5,5,4,4,24,52,36,0,1
0,0,3,29,10,27,1,82,29,86,0,0,10,10,10,0,0,10,9,0,10,0,7,10,0,0,0,0,0,0,0,0,0,2,6,10,0,0,0,0,0,0,0,0,0,5,28,3,5,5,6,6,27,63,58,0,1
0,0,1,27,10,28,1,82,26,77,0,0,10,10,10,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,5,28,1,5,5,5,5,26,56,59,0,1
0,0,1,26,9,25,1,75,27,80,0,0,9,9,9,0,0,9,10,0,10,0,5,10,0,0,0,0,0,0,0,0,0,3,2,9,0,0,0,0,0,0,0,0,0,5,25,1,5,5,5,5,27,57,51,0,1
0,0,1,23,11,23,1,71,23,71,0,0,11,11,11,0,0,11,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,4,3,11,0,0,0,0,0,0,0,0,0,5,23,1,5,5,4,4,23,33,46,0,0
0,0,1,26,10,27,1,78,26,78,0,0,10,10,10,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,3,4,10,0,0,0,0,0,0,0,0,0,5,26,1,5,5,6,6,26,60,57,0,1
0,0,1,26,10,25,1,75,24,71,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,4,2,10,0,0,0,0,0,0,0,0,0,5,25,1,5,5,4,4,26,50,54,0,1
0,0,1,26,10,27,1,81,28,86,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,4,2,10,0,0,0,0,0,0,0,0,0,5,27,1,5,5,6,6,26,59,62,0,1
0,0,1,25,10,24,1,74,25,73,0,0,10,10,10,0,0,10,10,0,10,0,5,10,0,0,0,0,0,0,0,0,0,4,2,10,0,0,0,0,0,0,0,0,0,5,25,1,5,5,5,4,25,59,53,0,1
0,0,1,27,10,28,1,83,27,84,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,3,4,9,0,0,0,0,0,0,0,0,0,5,27,1,5,5,5,6,27,57,61,0,2
0,0,0,24,10,24,1,71,24,70,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,4,3,11,0,0,0,0,0,0,0,0,0,5,24,0,5,5,4,4,25,49,51,0,0
0,0,1,28,8,27,1,82,28,83,0,0,8,8,8,0,0,8,10,0,8,0,7,10,0,0,0,0,0,0,0,0,0,3,2,10,0,0,0,0,0,0,0,0,0,5,28,1,6,6,5,5,27,58,56,0,2
0,0,1,19,10,19,1,56,19,55,0,0,10,10,10,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,4,4,10,0,0,0,0,0,0,0,0,0,5,18,1,5,5,3,3,19,52,40,0,0
0,0,0,23,9,23,1,95,28,82,0,0,9,9,9,0,0,9,10,0,9,0,7,10,0,0,0,0,0,0,0,0,0,3,2,9,0,0,0,0,0,0,0,0,0,5,32,0,5,5,6,6,23,54,61,0,1
0,0,1,35,11,35,1,82,30,94,0,0,11,11,11,0,0,11,10,0,11,0,6,10,0,0,0,0,0,0,0,0,0,3,5,11,0,0,0,0,0,0,0,0,0,5,27,1,6,6,6,6,35,60,66,0,1
0,0,1,24,10,24,1,69,23,70,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,4,1,10,0,0,0,0,0,0,0,0,0,5,24,1,5,5,4,4,24,43,51,0,1
0,0,1,28,10,28,1,84,29,84,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,4,3,10,0,0,0,0,0,0,0,0,0,5,27,1,5,5,6,6,28,57,63,0,1
0,0,0,20,10,20,1,60,19,60,0,0,10,10,10,0,0,10,10,0,10,0,8,10,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,5,20,0,5,5,4,4,20,44,38,0,1
0,0,1,27,10,27,1,83,28,84,0,0,10,10,10,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,4,3,10,0,0,0,0,0,0,0,0,0,5,28,1,5,5,5,5,27,54,63,0,1
0,0,1,26,10,26,1,77,26,76,0,0,10,10,10,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,4,2,10,0,0,0,0,0,0,0,0,0,5,26,1,5,5,5,5,26,52,56,0,1
0,0,1,27,10,27,1,80,26,80,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,5,26,1,5,5,5,5,27,60,54,0,1
0,0,0,25,10,25,1,75,25,75,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,2,3,10,0,0,0,0,0,0,0,0,0,5,25,0,5,5,5,5,25,54,50,0,1
0,0,1,28,10,28,1,84,28,84,0,0,10,10,10,0,0,10,10,0,10,0,5,10,0,0,0,0,0,0,0,0,0,3,2,10,0,0,0,0,0,0,0,0,0,5,29,1,5,5,6,6,28,56,60,0,1
0,0,1,25,9,25,1,77,26,77,0,0,10,9,9,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,3,2,9,0,0,0,0,0,0,0,0,0,5,25,1,5,5,4,4,25,57,54,0,1
0,0,2,24,11,24,1,73,24,73,0,0,7,8,8,0,0,7,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,2,5,11,0,0,0,0,0,0,0,0,0,5,22,2,5,5,5,5,24,56,53,0,1
0,0,2,23,10,23,1,66,22,66,0,0,0,0,0,0,0,0,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,1,5,10,0,0,0,0,0,0,0,0,0,5,24,2,5,5,5,5,23,46,49,0,1
0,0,2,25,10,25,1,77,26,77,0,0,0,0,0,0,0,0,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,5,26,2,5,5,4,4,25,35,49,0,1
0,0,1,30,9,31,1,91,30,91,0,0,4,4,4,0,0,4,10,1,10,0,7,10,0,0,0,0,0,0,0,0,1,0,5,10,0,0,0,0,0,0,0,0,1,7,29,1,6,6,6,6,31,62,66,0,1
0,0,2,24,10,23,1,71,24,71,0,0,10,10,10,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,1,5,10,0,0,0,0,0,0,0,0,0,5,25,2,5,5,5,5,23,61,53,0,1
0,0,1,28,10,28,1,83,28,82,0,0,10,10,10,0,0,10,10,0,10,0,5,10,0,0,0,0,0,0,0,0,0,3,2,10,0,0,0,0,0,0,0,0,0,5,27,1,5,5,6,6,28,57,61,0,1
0,0,1,26,10,26,1,77,25,78,0,0,10,10,10,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,5,2,10,0,0,0,0,0,0,0,0,0,5,26,1,5,5,4,4,26,58,49,0,1
0,0,0,23,10,23,1,72,24,72,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,3,2,10,0,0,0,0,0,0,0,0,0,5,24,0,5,5,5,5,23,55,54,0,1
0,0,1,29,10,29,1,84,28,84,0,0,10,10,10,0,0,10,10,0,10,0,5,10,0,0,0,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,5,28,1,5,5,6,5,29,61,60,0,1
0,0,1,25,10,25,1,77,26,76,0,0,10,10,10,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,5,3,11,0,0,0,0,0,0,0,0,0,5,26,1,5,5,3,4,25,52,56,0,1
0,0,0,25,10,25,1,74,25,76,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,4,1,10,0,0,0,0,0,0,0,0,0,5,25,0,5,5,5,5,25,54,53,0,1
0,0,1,21,10,21,1,62,20,62,0,0,10,10,10,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,3,2,10,0,0,0,0,0,0,0,0,0,5,20,1,5,5,4,4,20,47,39,0,1
0,0,1,30,10,30,1,91,31,89,0,0,10,10,10,0,0,10,10,0,10,0,5,10,0,0,0,0,0,0,0,0,0,4,3,10,0,0,0,0,0,0,0,0,0,5,31,1,5,5,5,5,31,60,66,0,1
0,0,1,24,10,25,1,74,24,75,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,2,3,10,0,0,0,0,0,0,0,0,0,5,25,1,5,5,5,5,24,60,51,0,1
0,0,0,27,10,26,1,78,27,78,0,0,10,10,10,0,0,10,10,0,10,0,8,10,0,0,0,0,0,0,0,0,0,3,4,10,0,0,0,0,0,0,0,0,0,5,26,0,5,5,4,5,27,55,59,0,1
0,0,1,27,10,28,1,84,27,78,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,5,27,1,5,5,6,5,27,60,59,0,1
0,0,1,23,10,22,1,68,23,74,0,0,10,10,10,0,0,10,10,0,10,0,5,10,0,0,0,0,0,0,0,0,0,3,4,10,0,0,0,0,0,0,0,0,0,5,23,1,5,5,5,5,23,40,51,0,1
0,0,1,27,10,27,1,81,27,80,0,0,10,10,10,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,5,27,1,5,5,5,5,27,55,56,0,1
0,0,1,26,10,26,1,79,26,80,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,3,4,10,0,0,0,0,0,0,0,0,0,5,26,1,5,5,5,5,26,60,57,0,1
0,0,0,20,10,20,1,59,20,59,0,0,10,10,10,0,0,10,10,0,10,0,5,10,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,5,20,0,5,5,4,4,20,48,44,0,1
0,0,1,31,10,31,1,94,31,93,0,0,10,10,10,0,0,10,10,0,10,0,5,10,0,0,0,0,0,0,0,0,0,4,2,10,0,0,0,0,0,0,0,0,0,5,31,1,5,5,6,6,31,61,61,0,1
0,0,1,25,10,25,1,72,25,73,0,0,10,10,10,0,0,10,8,0,10,0,7,10,0,0,0,0,0,0,0,0,0,3,2,10,0,0,0,0,0,0,0,0,0,5,25,1,5,5,5,5,25,59,50,0,1
0,0,1,24,10,24,1,72,23,72,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,2,5,10,0,0,0,0,0,0,0,0,0,5,23,1,5,5,4,4,24,50,50,0,1
0,0,1,29,10,29,1,90,30,90,0,0,10,10,10,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,4,2,10,0,0,0,0,0,0,0,0,0,5,30,1,5,5,6,6,29,60,65,0,1
0,0,0,13,10,14,0,39,13,39,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,2,5,10,0,0,0,0,0,0,0,0,0,5,13,0,5,5,3,3,13,48,29,0,1
0,0,0,1,1,0,1,5,1,1,0,0,0,0,0,0,0,0,2,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,2,0,15,15,0,0,1,27,5,0,0
0,0,1,9,0,19,0,0,20,72,0,0,0,0,0,0,0,0,0,0,10,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,14,1,12,12,3,4,9,33,39,0,1
0,0,1,54,0,60,2,83,55,151,0,0,0,0,0,0,0,0,2,0,10,0,7,1,0,0,0,0,0,0,0,0,0,1,5,2,0,0,0,0,0,0,0,0,0,5,24,1,11,11,12,8,58,51,115,0,1
0,0,0,41,5,27,2,98,29,88,0,0,4,4,4,0,0,4,6,0,10,0,7,5,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,5,36,0,12,12,6,8,37,57,69,0,2
0,0,0,15,1,6,1,71,25,80,0,0,0,0,0,0,0,0,0,0,8,0,6,2,0,0,0,0,0,0,0,0,0,1,6,2,0,0,0,0,0,0,0,0,0,5,14,0,13,13,4,4,19,38,39,0,1
0,0,1,44,4,51,1,206,34,97,0,0,4,4,4,0,0,4,10,0,7,0,6,10,0,0,0,0,0,0,0,0,0,3,4,10,0,0,0,0,0,0,0,0,0,5,73,1,4,4,7,8,40,55,74,0,1
0,0,1,16,6,16,1,83,14,50,0,0,6,6,6,0,0,6,8,0,6,0,6,8,0,0,0,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,5,19,1,9,9,2,2,16,53,39,0,1
0,0,1,28,7,28,1,79,29,82,0,0,7,7,7,0,0,7,8,0,6,0,6,7,0,0,0,0,0,0,0,0,0,2,5,7,0,0,0,0,0,0,0,0,0,5,26,1,9,9,6,6,28,62,61,0,1
0,0,0,27,4,18,1,79,21,83,0,0,4,4,4,0,0,4,0,0,5,0,5,3,0,0,0,0,0,0,0,0,0,2,4,5,0,0,0,0,0,0,0,0,0,5,26,0,10,10,4,4,18,52,56,0,1
0,0,1,17,4,20,1,74,32,62,0,0,4,4,4,0,0,4,6,0,4,0,7,6,0,0,0,0,0,0,0,0,0,2,4,5,0,0,0,0,0,0,0,0,0,5,26,1,7,7,6,6,32,49,54,0,1
0,0,1,23,7,27,1,76,25,79,0,0,6,6,6,0,0,6,10,0,8,0,7,9,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,5,23,1,11,11,5,4,15,43,55,0,1
0,0,1,33,8,31,1,78,23,89,0,0,8,8,8,0,0,8,6,0,8,0,7,8,0,0,0,0,0,0,0,0,0,1,5,7,0,0,0,0,0,0,0,0,0,5,27,1,11,11,5,6,31,59,56,0,1
0,0,1,35,10,39,1,94,34,92,0,0,9,9,9,0,0,9,10,0,10,0,6,9,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,5,32,1,9,9,6,6,39,60,68,0,1
0,0,0,24,10,24,1,80,24,83,0,0,7,7,7,0,0,7,12,0,10,0,7,10,0,0,0,0,0,0,0,0,0,2,4,10,0,0,0,0,0,0,0,0,0,5,26,0,18,18,5,5,24,52,48,0,1
0,0,1,22,10,22,1,64,23,58,0,0,7,7,7,0,0,7,12,0,10,0,6,10,0,0,0,0,0,0,0,0,0,1,6,10,0,0,0,0,0,0,0,0,0,5,23,1,19,19,5,4,22,62,37,0,1
0,0,1,21,2,21,1,89,21,84,0,0,2,2,2,0,0,2,6,0,3,0,6,6,0,0,0,0,0,0,0,0,0,2,2,5,0,0,0,0,0,0,0,0,0,5,27,1,7,7,3,3,21,55,53,0,1
0,0,1,31,6,31,1,61,30,69,0,0,6,6,6,0,0,6,8,0,5,0,6,7,0,0,0,0,0,0,0,0,0,2,4,6,0,0,0,0,0,0,0,0,0,5,23,1,8,8,6,7,31,57,53,0,1
0,0,3,30,10,31,1,97,32,93,0,0,10,10,10,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,5,32,3,6,6,7,7,30,54,64,0,1
0,0,2,21,10,20,1,79,20,73,0,0,7,7,7,0,0,7,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,1,6,10,0,0,0,0,0,0,0,0,0,5,24,2,6,6,4,4,21,50,51,0,1
0,0,1,30,10,31,1,70,30,80,0,0,0,0,0,0,0,0,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,5,25,1,5,5,5,5,31,48,58,0,1
0,0,1,27,10,27,1,85,27,86,0,0,0,0,0,0,0,0,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,5,29,1,5,5,6,6,27,53,62,0,1
0,0,2,25,10,24,1,71,25,70,0,0,0,0,0,0,0,0,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,5,23,2,5,5,3,3,25,35,51,0,1
0,0,2,25,9,26,1,75,19,66,0,0,0,0,0,0,0,0,10,0,9,0,6,10,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,1,6,25,2,8,8,5,5,25,58,55,0,1
0,0,0,26,8,25,1,78,32,87,0,0,7,7,7,0,0,7,10,1,10,0,7,9,0,0,0,0,0,0,0,0,1,1,5,9,0,0,0,0,0,0,0,0,0,6,26,0,10,10,5,5,25,57,57,0,1
0,0,1,26,10,28,1,81,26,82,0,0,10,10,10,0,0,10,10,0,11,0,6,10,0,0,0,0,0,0,0,0,0,2,5,10,0,0,0,0,0,0,0,0,0,5,28,1,5,5,6,6,26,63,60,0,1
0,0,0,25,10,23,1,75,27,71,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,2,3,10,0,0,0,0,0,0,0,0,0,5,24,0,5,5,5,5,25,51,57,0,1
