,norm,norm,norm,norm,norm,norm,norm,norm,norm,norm,anomaly,anomaly,anomaly
0,0.096988738,0.084337823,0.078028195,0.090929464,0.081559233,0.077251457,0.089238301,0.09019801,0.082724378,0.073940605,0.102587491,0.092368305,0.096100166
1,0.026016342,0.022964705,0.011734037,0.022816621,0.01781081,0.015906641,0.018179771,0.024781067,0.018895328,0.00753958,0.019419726,0.01960599,0.023744257
2,0.025079733,0.025593262,0.010854272,0.023519814,0.01753022,0.017162932,0.017936712,0.025570508,0.018206995,0.006885226,0.019873554,0.019945154,0.022929002
3,0.026297035,0.023804409,0.010920755,0.023798412,0.017162662,0.015675204,0.017816719,0.025385765,0.017890377,0.007056233,0.019961255,0.019283609,0.023735542
4,0.026371837,0.023716576,0.01105747,0.023853857,0.020999322,0.016977469,0.017527409,0.026152132,0.018694127,0.00618295,0.018712889,0.017257588,0.022839706
5,0.026574712,0.023132671,0.010898423,0.026140727,0.021103356,0.017085077,0.017602444,0.025447296,0.019805964,0.006187561,0.017596796,0.016471067,0.021258373
6,0.02705404,0.022454396,0.010316007,0.026375432,0.019591682,0.017364848,0.017839007,0.024195442,0.020327605,0.005784355,0.017272158,0.017212557,0.020996725
7,0.027003314,0.021905737,0.009897263,0.026732933,0.019743517,0.016757859,0.019409588,0.02378759,0.020001758,0.005489942,0.018407488,0.017616482,0.020554168
8,0.026037347,0.02227715,0.009626495,0.025636738,0.020086322,0.015314802,0.017338583,0.024217431,0.018785575,0.004688126,0.018699056,0.018232053,0.021134218
9,0.027127266,0.021106832,0.009496157,0.024493281,0.018592399,0.012177091,0.018186022,0.022455005,0.019427389,0.004352364,0.017151145,0.018137161,0.020759979
10,0.027843295,0.018797213,0.009222739,0.024832245,0.017566727,0.010829065,0.016048219,0.023976212,0.020986751,0.005873771,0.01721669,0.01816467,0.02067074
11,0.026523821,0.017859962,0.00961376,0.025454927,0.017111985,0.011018069,0.015924877,0.023762835,0.022048602,0.008251909,0.017162899,0.01674512,0.02063828
12,0.027106976,0.018099096,0.009879049,0.024812283,0.018146122,0.011008269,0.01521806,0.025353894,0.019821664,0.008454163,0.017157752,0.016310127,0.02133343
13,0.025921987,0.019141933,0.010099991,0.024916265,0.018734012,0.012053099,0.015404017,0.024277173,0.020526633,0.009620055,0.016774008,0.015986374,0.020487519
14,0.026030466,0.019384261,0.010482267,0.02719843,0.016053641,0.011556099,0.01529791,0.025195979,0.021301335,0.009758512,0.01696031,0.016814357,0.021578789
15,0.025674934,0.01987558,0.010871111,0.024634508,0.018228205,0.013427344,0.015877726,0.02552212,0.020700201,0.012477701,0.017619465,0.016372172,0.021018082
16,0.026353402,0.019591305,0.010513159,0.025564032,0.017395081,0.013175501,0.016116029,0.026310947,0.01963779,0.012999892,0.016568976,0.015272667,0.021854693
17,0.026710592,0.022250125,0.012803137,0.024625966,0.017563248,0.012317035,0.015890861,0.028332584,0.019320454,0.013511493,0.015682438,0.016076485,0.023688618
18,0.02714109,0.02010561,0.012464288,0.02694338,0.017952451,0.014448416,0.015994402,0.0279199,0.020311045,0.014671346,0.016110944,0.016271465,0.02400898
19,0.02680251,0.020146584,0.014236319,0.0257782,0.016115585,0.016207024,0.015706021,0.027503425,0.019742982,0.0147064,0.016907154,0.016139565,0.025012782
20,0.027163595,0.021217538,0.013029414,0.027937785,0.018156219,0.016151322,0.016551152,0.02656473,0.01857472,0.012817803,0.016777541,0.017039483,0.026878525
21,0.026994783,0.021222036,0.016940594,0.027605759,0.019141717,0.016827377,0.015648276,0.026721509,0.017488074,0.010846232,0.017360689,0.019644214,0.026818944
22,0.026639488,0.019918043,0.018284958,0.028470792,0.018736145,0.016163839,0.016938047,0.027118167,0.02165412,0.010891212,0.01796459,0.019058028,0.02658961
23,0.02671111,0.021832125,0.017612811,0.028963123,0.018653015,0.015574561,0.017473897,0.027794279,0.022830112,0.010588958,0.018044857,0.018644389,0.02593484
24,0.024771724,0.020946069,0.017068911,0.02842447,0.018698037,0.015286817,0.018606327,0.026278745,0.023044473,0.011268761,0.017776329,0.01649148,0.024255926
25,0.024864156,0.020560583,0.017086031,0.027795995,0.017607316,0.012638815,0.018261584,0.025368495,0.023677571,0.00862452,0.016783511,0.017778577,0.023533722
26,0.025220523,0.019080063,0.015981965,0.0259555,0.017214701,0.012802836,0.018593511,0.025115389,0.021387471,0.007378234,0.016328108,0.018231682,0.021523958
27,0.02705968,0.01804924,0.01540546,0.02599684,0.018126335,0.013243477,0.0188343,0.023251679,0.019982973,0.00596047,0.016317463,0.01870021,0.024447411
28,0.025796015,0.017652584,0.016998073,0.024957843,0.017172018,0.011291385,0.01895131,0.023510424,0.021722728,0.006289985,0.016031802,0.018657442,0.024120493
29,0.026049133,0.018079912,0.014628257,0.026334949,0.017086422,0.008513738,0.017991226,0.022141276,0.022333214,0.006309177,0.015727712,0.018840391,0.024480145
30,0.024230087,0.016515236,0.015012067,0.022924121,0.016392313,0.009262376,0.016078502,0.022035472,0.024077205,0.005969042,0.017202254,0.019071668,0.023923147
31,0.023835244,0.016195621,0.012659753,0.02231106,0.016233075,0.009025868,0.016193913,0.02163993,0.022452815,0.00673884,0.017223971,0.018723877,0.024054185
32,0.023818608,0.015110125,0.012724158,0.022371201,0.015858557,0.008967524,0.014965531,0.021607654,0.019715609,0.005725922,0.01713524,0.018468298,0.024145823
33,0.026467551,0.013683572,0.013286946,0.022428362,0.015534598,0.008855104,0.015795974,0.02064437,0.0190343,0.006536584,0.017161567,0.019184588,0.025006656
34,0.029743629,0.01398651,0.013546349,0.022180323,0.016207846,0.009039399,0.014895104,0.021036932,0.018584363,0.005479063,0.017275561,0.01954196,0.025159823
