,normal,normal,normal,normal,normal,normal,normal,normal,normal,normal,anomaly,anomaly,anomaly
0,0.03499696031212807,0.038268085569143295,0.023758072406053543,0.03275225684046745,0.02718876674771309,0.026251576840877533,0.03044341318309307,0.03541344031691551,0.032290201634168625,0.01785922423005104,0.03553713858127594,0.03081037476658821,0.03487784415483475
1,0.022140691056847572,0.02099713310599327,0.011524475179612637,0.02265023998916149,0.016723083332180977,0.015227299183607101,0.01814725436270237,0.02263757400214672,0.016729436814785004,0.007489833049476147,0.018517285585403442,0.01863075979053974,0.024539891630411148
2,0.021245554089546204,0.023508571088314056,0.010250154882669449,0.023147856816649437,0.016409313306212425,0.016294799745082855,0.016871057450771332,0.023732950910925865,0.016397032886743546,0.006851524580270052,0.020477108657360077,0.019841112196445465,0.02429843693971634
3,0.022357244044542313,0.02230154722929001,0.010450178757309914,0.023262614384293556,0.015881411731243134,0.015113991685211658,0.01632021553814411,0.02408714033663273,0.01602942682802677,0.0069431946612894535,0.020202962681651115,0.01901538297533989,0.02449655719101429
4,0.022703867405653,0.021733077242970467,0.010629943571984768,0.02335316501557827,0.01929544098675251,0.01576065644621849,0.016337385401129723,0.024491356685757637,0.016049304977059364,0.006083023734390736,0.017954139038920403,0.016012467443943024,0.023883914574980736
5,0.02283550798892975,0.02132096141576767,0.010339425876736641,0.025668034330010414,0.0196226853877306,0.0161508247256279,0.016470182687044144,0.02416399121284485,0.01726817898452282,0.006152925081551075,0.016954563558101654,0.015108782798051834,0.02166484110057354
6,0.02324563078582287,0.021118739619851112,0.009797175414860249,0.026071954518556595,0.01883969083428383,0.016548702493309975,0.016563283279538155,0.023363057523965836,0.01817896030843258,0.005659748800098896,0.01651732809841633,0.015912339091300964,0.02126987650990486
7,0.023365819826722145,0.021637283265590668,0.009989789687097073,0.02595316246151924,0.01944889687001705,0.016876060515642166,0.017828479409217834,0.023283598944544792,0.018768873065710068,0.005560854449868202,0.016967536881566048,0.016371803358197212,0.02089044265449047
8,0.022442448884248734,0.0218050479888916,0.00952393002808094,0.02541252411901951,0.019468460232019424,0.014379529282450676,0.017053497955203056,0.0237711351364851,0.018562093377113342,0.004754413850605488,0.016723182052373886,0.01670207269489765,0.021413028240203857
9,0.02366507798433304,0.020679740235209465,0.008961877785623074,0.02343769744038582,0.01861477643251419,0.01188895758241415,0.018066704273223877,0.021308453753590584,0.018998844549059868,0.0043718647211790085,0.015890540555119514,0.017106827348470688,0.021117929369211197
