Counter(/clock),Mean_Consecutive(/clock),Counter(/host_diagnostic),Mean_Consecutive(/host_diagnostic),Counter(/joint_states),Mean_Consecutive(/joint_states),Counter(/kinect2/qhd/camera_info),Mean_Consecutive(/kinect2/qhd/camera_info),Counter(/kinect2/qhd/image_color/compressed),Mean_Consecutive(/kinect2/qhd/image_color/compressed),Counter(/kinect2/qhd/image_color/theora),Mean_Consecutive(/kinect2/qhd/image_color/theora),Counter(/mobile_base_controller/cmd_vel),Mean_Consecutive(/mobile_base_controller/cmd_vel),Counter(/mobile_base_controller/odom),Mean_Consecutive(/mobile_base_controller/odom),Counter(/move_base/NavfnROS/plan),Mean_Consecutive(/move_base/NavfnROS/plan),Counter(/move_base/TebLocalPlannerROS/global_plan),Mean_Consecutive(/move_base/TebLocalPlannerROS/global_plan),Counter(/move_base/TebLocalPlannerROS/local_plan),Mean_Consecutive(/move_base/TebLocalPlannerROS/local_plan),Counter(/move_base/TebLocalPlannerROS/teb_markers),Mean_Consecutive(/move_base/TebLocalPlannerROS/teb_markers),Counter(/move_base/TebLocalPlannerROS/teb_poses),Mean_Consecutive(/move_base/TebLocalPlannerROS/teb_poses),Counter(/move_base/feedback),Mean_Consecutive(/move_base/feedback),Counter(/move_base/global_costmap/footprint),Mean_Consecutive(/move_base/global_costmap/footprint),Counter(/move_base/local_costmap/costmap),Mean_Consecutive(/move_base/local_costmap/costmap),Counter(/move_base/local_costmap/costmap_updates),Mean_Consecutive(/move_base/local_costmap/costmap_updates),Counter(/move_base/local_costmap/footprint),Mean_Consecutive(/move_base/local_costmap/footprint),Counter(/move_base/status),Mean_Consecutive(/move_base/status),Counter(/nav_vel),Mean_Consecutive(/nav_vel),Counter(/node_diagnostic),Mean_Consecutive(/node_diagnostic),Counter(/odometry/filtered),Mean_Consecutive(/odometry/filtered),Counter(/pan_tilt_trajectory_controller/follow_joint_trajectory/status),Mean_Consecutive(/pan_tilt_trajectory_controller/follow_joint_trajectory/status),Counter(/pan_tilt_trajectory_controller/point_head_action/status),Mean_Consecutive(/pan_tilt_trajectory_controller/point_head_action/status),Counter(/pan_tilt_trajectory_controller/state),Mean_Consecutive(/pan_tilt_trajectory_controller/state),Counter(/particlecloud),Mean_Consecutive(/particlecloud),Counter(/scan),Mean_Consecutive(/scan),Counter(/tf),Mean_Consecutive(/tf),linear velocity x,angular velocity z,Threads(/amcl),MeanLoadCPU(/amcl),Threads(/twist_mux),MeanLoadCPU(/twist_mux),Threads(/robot_state_publisher),MeanLoadCPU(/robot_state_publisher),Threads(/move_base),MeanLoadCPU(/move_base),Threads(/map_odom_broadcaster),MeanLoadCPU(/map_odom_broadcaster),matansar(MaxCPU0),matansar(MinCPU0),matansar(MeanCPU0),matansar(StdCPU0),matansar(MaxCPU1),matansar(MinCPU1),matansar(MeanCPU1),matansar(StdCPU1),matansar(MaxCPU2),matansar(MinCPU2),matansar(MeanCPU2),matansar(StdCPU2),matansar(MaxCPU3),matansar(MinCPU3),matansar(MeanCPU3),matansar(StdCPU3)
966,0.001035191,2,0.54665494,49,0.02043352,12,0.067141728,9,0.105396897,9,0.105961889,5,0.209910512,47,0.020634542,0,0,5,0.209916711,5,0.209696233,10,0.093243122,5,0.210061967,5,0.210244775,4,0.216003338,2,0.428312063,0,0,5,0.209937274,4,0.21060435,5,0.209778011,20,0.02952321,28,0.035774107,5,0.211388528,5,0.210425556,48,0.020740423,2,0.454380035,10,0.104253663,118,0.008354008,0.235252474,-0.15,8,7.700000095,6,2.890000057,6,5.130000114,11,14.41000013,0,0,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18
960,0.001039284,2,0.525042057,49,0.020185088,16,0.061850866,10,0.10198768,10,0.100083219,5,0.207542956,48,0.020418507,0,0,5,0.206083715,5,0.208289266,10,0.092120568,5,0.20736897,5,0.20712173,5,0.204302013,3,0.413085461,0,0,5,0.206517756,5,0.206347287,5,0.207427263,20,0.027688365,29,0.033998251,5,0.207651019,5,0.207695484,48,0.020755068,2,0.413820028,10,0.103131983,116,0.008418869,0.257887848,-0.15,8,6.870000076,6,3.869999981,6,5.860000038,11.5,15.8,0,0,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18
942,0.001055118,2,0.532014132,46,0.020576668,18,0.050192118,9,0.107535005,9,0.107458621,5,0.209721029,48,0.020517831,0,0,5,0.210039258,5,0.212653279,10,0.094957113,5,0.213285029,5,0.211167514,5,0.211349487,1,0,1,0,4,0.210982323,5,0.211052775,5,0.208784521,20,0.028108321,29,0.034397108,5,0.21107775,4,0.212008635,47,0.021125871,3,0.423794508,9,0.105798125,122,0.008076183,0.298065517,-0.15,8,7.833333333,6,4.422222243,6,5.58888891,11,12.98888895,0,0,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18
934,0.001069817,2,0.537875891,47,0.021214133,14,0.067473302,10,0.108711322,9,0.107840985,4,0.217110952,47,0.021141742,0,0,4,0.218187014,4,0.217624982,8,0.091809988,4,0.217220068,4,0.217045387,5,0.217987001,3,0.430351019,0,0,5,0.215240955,5,0.216901541,4,0.217118979,20,0.028391951,28,0.036150226,4,0.215932687,5,0.21475178,47,0.021522869,2,0.437863111,9,0.108076602,117,0.008403749,0.3,-0.15,8,7.410000086,6,3.580000019,6,4.330000019,11,14.89000006,0,0,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18
950,0.001052345,2,0.522553921,48,0.020755829,16,0.049471188,9,0.104449242,10,0.103097121,5,0.209733248,47,0.0208813,0,0,5,0.213434458,5,0.210683763,10,0.093582683,5,0.210088789,5,0.209500492,4,0.213414987,2,0.411148071,0,0,5,0.212188005,4,0.208990018,5,0.210737228,20,0.027706058,28,0.034695334,5,0.210266531,5,0.211550474,47,0.021006828,2,0.43225193,10,0.105122884,117,0.00846581,0.3,-0.086941321,8,7.790909247,6,3.554545489,6,6.236363758,11,14.61818175,0,0,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18
937,0.001062785,2,0.543015003,46,0.021008513,12,0.086989186,10,0.107724561,9,0.101950347,5,0.214169979,46,0.02079187,0,0,5,0.21454525,5,0.213144779,10,0.094855679,5,0.214162052,5,0.211571276,5,0.212392747,2,0.423423052,1,0,4,0.210500956,5,0.213601232,5,0.214136243,20,0.029171053,29,0.034870463,5,0.213522971,5,0.210710764,47,0.021266305,3,0.40179646,9,0.105205119,118,0.008391727,0.3,0.11856894,8,8.410000038,6,2.830000019,6,4.790000057,11,13.71999989,0,0,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18
920,0.001083222,1,0,46,0.020926894,12,0.079879457,9,0.109942377,9,0.108711243,4,0.222073634,46,0.021154022,0,0,4,0.223504066,4,0.222549677,8,0.095340558,4,0.222467979,5,0.21603179,5,0.218455732,2,0.447030067,0,0,5,0.218838274,5,0.221357465,4,0.220817963,10,0.00019545,27,0.036096931,4,0.219330947,4,0.219200611,46,0.021866422,2,0.440063953,9,0.109884739,115,0.008590027,0.3,0.15,8,7.680000114,6,3.919999886,6,3.259999847,11,14.83999996,0,0,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18
946,0.001057639,2,0.528149843,48,0.020736852,14,0.065073233,9,0.106267631,10,0.106876002,5,0.213090241,48,0.020768805,0,0,5,0.213468969,5,0.21188724,10,0.094539987,5,0.213160038,4,0.21370705,4,0.215108633,3,0.422472596,0,0,5,0.211202502,4,0.215699355,5,0.213083267,20,0.028027422,28,0.036299891,5,0.212536991,5,0.213243484,48,0.021084557,2,0.459888935,10,0.105924341,118,0.008443258,0.3,-0.046218768,8,7.511111259,6,4.222222222,6,6.233333376,11,15.59999985,0,0,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18
959,0.001042401,2,0.519624949,48,0.020764001,14,0.064682612,10,0.10319633,10,0.102052795,5,0.210346282,48,0.020765107,0,0,5,0.209675252,5,0.209895253,10,0.093458229,5,0.209761262,5,0.210835755,5,0.207341492,2,0.198715925,0,0,4,0.208940347,5,0.208034456,5,0.209724486,20,0.028273319,29,0.034725504,5,0.209282994,5,0.208450496,47,0.020898653,3,0.431811452,9,0.105228633,116,0.008472948,0.3,-0.095656825,8,6.55,6,3.430000019,6,4.639999962,11,14.44000015,0,0,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18
955,0.001045294,2,0.511909962,47,0.020173265,14,0.062975242,10,0.104143116,9,0.103780121,5,0.208477795,48,0.020433598,0,0,5,0.208198249,5,0.207945049,10,0.092716111,5,0.207808495,5,0.205042243,5,0.208046734,3,0.31103158,0,0,5,0.208732009,5,0.205541968,5,0.207862794,20,0.026582203,29,0.033721966,5,0.20747298,4,0.207844337,48,0.020737105,2,0.484616041,10,0.104035907,122,0.008178191,0.3,-0.056029311,8,6.920000076,6,4.030000019,6,5.890000057,11,13.12000008,0,0,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18
